2025-09-25 19:17:19 - user_interactions - INFO - log:141 - [USER_INTERACTION] | User:599762196 | User interaction: callback_query: files | Context:{"callback_data": "files_1"}
2025-09-25 19:17:21 - user_interactions - INFO - log:141 - [USER_INTERACTION] | User:599762196 | User interaction: callback_query: file | Context:{"callback_data": "file_17"}
2025-09-25 19:17:23 - user_interactions - INFO - log:141 - [USER_INTERACTION] | User:599762196 | User interaction: callback_query: file | Context:{"callback_data": "file_download_links_17"}
2025-09-25 19:17:26 - user_interactions - INFO - log:141 - [USER_INTERACTION] | User:599762196 | User interaction: callback_query: create | Context:{"callback_data": "create_fast_link_17"}
2025-09-25 19:17:35 - user_interactions - INFO - log:141 - [USER_INTERACTION] | User:599762196 | User interaction: callback_query: file | Context:{"callback_data": "file_download_links_17"}
2025-09-25 19:17:38 - user_interactions - INFO - log:141 - [USER_INTERACTION] | User:599762196 | User interaction: callback_query: telethon | Context:{"callback_data": "telethon_management"}
2025-09-25 19:17:40 - user_interactions - INFO - log:141 - [USER_INTERACTION] | User:599762196 | User interaction: callback_query: telethon | Context:{"callback_data": "telethon_login_menu"}
2025-09-25 19:17:44 - user_interactions - INFO - log:141 - [USER_INTERACTION] | User:599762196 | User interaction: callback_query: files | Context:{"callback_data": "files_1"}
2025-09-25 19:17:46 - user_interactions - INFO - log:141 - [USER_INTERACTION] | User:599762196 | User interaction: callback_query: file | Context:{"callback_data": "file_17"}
2025-09-25 19:17:48 - user_interactions - INFO - log:141 - [USER_INTERACTION] | User:599762196 | User interaction: callback_query: copy | Context:{"callback_data": "copy_link_17"}
2025-09-25 19:17:56 - user_interactions - INFO - log:141 - [USER_INTERACTION] | User:599762196 | User interaction: callback_query: file | Context:{"callback_data": "file_download_links_17"}
2025-09-25 19:17:59 - user_interactions - INFO - log:141 - [USER_INTERACTION] | User:599762196 | User interaction: callback_query: telethon | Context:{"callback_data": "telethon_management"}
2025-09-25 19:18:04 - user_interactions - INFO - log:141 - [USER_INTERACTION] | User:599762196 | User interaction: callback_query: telethon | Context:{"callback_data": "telethon_health_check"}
2025-09-25 19:18:08 - user_interactions - INFO - log:141 - [USER_INTERACTION] | User:599762196 | User interaction: callback_query: files | Context:{"callback_data": "files_1"}
2025-09-25 19:18:10 - user_interactions - INFO - log:141 - [USER_INTERACTION] | User:599762196 | User interaction: callback_query: file | Context:{"callback_data": "file_17"}
2025-09-25 19:18:11 - user_interactions - INFO - log:141 - [USER_INTERACTION] | User:599762196 | User interaction: callback_query: file | Context:{"callback_data": "file_download_links_17"}
2025-09-25 19:18:13 - user_interactions - INFO - log:141 - [USER_INTERACTION] | User:599762196 | User interaction: callback_query: telethon | Context:{"callback_data": "telethon_management"}
2025-09-25 19:18:16 - user_interactions - INFO - log:141 - [USER_INTERACTION] | User:599762196 | User interaction: callback_query: telethon | Context:{"callback_data": "telethon_view_logs"}
